FID,Name,Address,City,Zipcode,geom
Schools_High.fid--246598da_1926cae7ac2_2fd8,Glenelg,14025 BURNTWOODS RD,Glenelg,21737,POINT (1311661.6690210416 585894.5092805235)
Schools_High.fid--246598da_1926cae7ac2_2fd9,Marriotts Ridge,12100 WOODFORD DR,Marriottsville,21104,POINT (1330830.2858533377 602789.1264977695)
Schools_High.fid--246598da_1926cae7ac2_2fda,Long Reach,6101 OLD DOBBIN LN,Columbia,21045,POINT (1365779.3478907184 560672.7220443557)
Schools_High.fid--246598da_1926cae7ac2_2fdb,Mt. Hebron,9440 OLD FREDERICK RD,Ellicott City,21042,POINT (1357521.8319140594 594493.5641955048)
Schools_High.fid--246598da_1926cae7ac2_2fdc,Atholton,6520 FREETOWN RD,Columbia,21044,POINT (1346149.1998624203 554196.6520981742)
Schools_High.fid--246598da_1926cae7ac2_2fdd,Applications Research Lab,10920 CLARKSVILLE PK,Ellicott City,21042,POINT (1342742.2977364487 571272.135694069)
Schools_High.fid--246598da_1926cae7ac2_2fde,Hammond,8800 GUILFORD RD,Columbia,21046,POINT (1351918.4861444647 546560.7545491043)
Schools_High.fid--246598da_1926cae7ac2_2fdf,Reservoir,11550 SCAGGSVILLE RD,Fulton,20759,POINT (1336986.474000388 540904.4365877047)
Schools_High.fid--246598da_1926cae7ac2_2fe0,Howard,8700 OLD ANNAPOLIS RD,Ellicott City,21043,POINT (1365398.2993065747 568135.069815855)
Schools_High.fid--246598da_1926cae7ac2_2fe1,Centennial HS,4300 CENTENNIAL LN,Ellicott City,21042,POINT (1349612.5861487142 577661.5770834866)
Schools_High.fid--246598da_1926cae7ac2_2fe2,River Hill,12101 CLARKSVILLE PK,Clarksville,21029,POINT (1332622.2677893678 564178.8372809453)
Schools_High.fid--246598da_1926cae7ac2_2fe3,Oakland Mills,9410 KILIMANJARO RD,Columbia,21045,POINT (1357905.2218105479 561667.7797909671)
Schools_High.fid--246598da_1926cae7ac2_2fe4,Wilde Lake,5460 TRUMPETER RD,Columbia,21044,POINT (1348368.76396545 564808.0649736555)
